TIME,MACHINE,RESULT
23.07.2025 15:50:01,.,Able to connect to WMI. 
23.07.2025 15:50:01,.,'Audit Result - 23.07.2025 15:50:01,. - Able to connect to WMI.  - Completed OK.'
23.07.2025 15:50:01,.,'Audit Result - No username and password provided - therefore assuming local domain PC. - Completed OK.'
23.07.2025 15:50:01,.,Started
23.07.2025 15:50:01,.,'Audit Result - PC name supplied: . - Completed OK.'
23.07.2025 15:50:01,.,'Audit Result - PC name from WMI: XGWSPBA1 - Completed OK.'
23.07.2025 15:50:01,.,'Audit Result - User executing this script: XGWSPBA - Completed OK.'
23.07.2025 15:50:01,.,'Audit Result - System UUID: 50F1D8CC-2B02-11B2-A85C-E8EC34BF4F7E - Completed OK.'
23.07.2025 15:50:02,.,'Audit Result - IP:  - Completed OK.'
23.07.2025 15:50:02,.,'Audit Result - Network Info - Completed OK.'
23.07.2025 15:50:58,.,'Audit Result - System Information - Completed OK.'
23.07.2025 15:51:01,.,'Audit Result - TPM auslesen... - Completed OK.'
23.07.2025 15:51:06,.,'Audit Result - TPM Version:  - Completed OK.'
23.07.2025 15:51:06,.,'Audit Result - Windows Info - Completed OK.'
23.07.2025 15:51:06,.,'Audit Result - Bios Info - Completed OK.'
23.07.2025 15:51:06,.,'Audit Result - Processor Info - Completed OK.'
23.07.2025 15:51:07,.,'Audit Result - Memory Info - Completed OK.'
23.07.2025 15:51:07,.,'Audit Result - Windows optional features installed - Completed OK.'
23.07.2025 15:51:08,.,'Audit Result - Video Info - Completed OK.'
23.07.2025 15:51:08,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - Monitor Info - Completed OK.'
23.07.2025 15:51:09,.,'Audit Result - USB Devices - Completed OK.'
23.07.2025 15:51:58,.,'Audit Result - Hard Disk Info - Completed OK.'
23.07.2025 15:51:58,.,'Audit Result - Partition Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result -  Type: GPT: Basic Data - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result -  Bitlocker:  - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - SCSI Cards - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - SCSI Devices - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Optical Drive Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Floppy Drives - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Tape Drive Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Keyboard Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Battery Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Modem Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Mouse Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Sound Card Info - Completed OK.'
23.07.2025 15:52:04,.,'Audit Result - Printer Info - Completed OK.'
23.07.2025 15:52:05,.,'Audit Result - Share Info - Completed OK.'
23.07.2025 15:52:05,.,'Audit Result - Mapped Drives Info - Completed OK.'
23.07.2025 15:52:06,.,'Audit Result - Local Groups Info - Completed OK.'
23.07.2025 15:52:06,.,'Audit Result - Local Users Info - Completed OK.'
23.07.2025 15:52:06,.,'Audit Result - Scheduled Tasks Info - Completed OK.'
23.07.2025 15:52:07,.,'Audit Result - System Environment Variables Info - Completed OK.'
23.07.2025 15:52:07,.,'Audit Result - Event Logs Info - Completed OK.'
23.07.2025 15:52:07,.,'Audit Result - Ip Routes Info - Completed OK.'
23.07.2025 15:52:08,.,'Audit Result - Pagefile Info - Completed OK.'
23.07.2025 15:52:08,.,'Audit Result - Motherboard Info - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - Onboard devices Info - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - AV - Security Center Settings - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - Path windowsdefender:// - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - Name Windows Defender - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - Path C:\\Program Files (x86)\\Kaspersky Lab\\Kaspersky Endpoint Security for Windows\\remediation.exe - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - Name Kaspersky Endpoint Security für Windows - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - Firewall: Kaspersky Endpoint Security für Windows    - Completed OK.'
23.07.2025 15:52:09,.,'Audit Result - Software Windows QFE Fixes - Completed OK.'
23.07.2025 15:52:10,.,'Audit Result - Startup Programs - Completed OK.'
23.07.2025 15:52:10,.,'Audit Result - Services - Completed OK.'
23.07.2025 15:52:11,.,'Audit Result - Internet Explorer Browser Helper Objects - Completed OK.'
23.07.2025 15:52:11,.,'Audit Result - Installed Software 32 Bit - Completed OK.'
23.07.2025 15:52:16,.,'Audit Result - Installed Software 64 Bit - Completed OK.'
23.07.2025 15:52:20,.,'Audit Result - Installed Software 32 Bit (current user) - Completed OK.'
23.07.2025 15:52:22,.,'Audit Result - Installed Software 64 Bit (current user) - Completed OK.'
23.07.2025 15:52:22,.,'Audit Result - Installed Software 32 Bit (for each User) - Completed OK.'
23.07.2025 15:52:22,.,'Audit Result - Installed Modern Apps 32 Bit per User - Completed OK.'
23.07.2025 15:52:23,.,'Audit Result - Installed Media Codecs - Completed OK.'
23.07.2025 15:52:23,.,'Audit Result - MDAC/WDAC, DirectX, Media Player, IE and OE Versions - Completed OK.'
23.07.2025 15:52:23,.,'Audit Result - Winver26100.1.amd64fre.ge_release.240331-1435 - Completed OK.'
23.07.2025 15:52:23,.,'Audit Result - Firefox Extensions - Completed OK.'
23.07.2025 15:52:23,.,'Audit Result - Windows Firewall Settings - Completed OK.'
23.07.2025 15:52:23,.,'Audit Result - CD Keys - Completed OK.'
23.07.2025 15:52:24,.,'Audit Result - Office 2013 Visio Project - 64 Bit - Completed OK.'
23.07.2025 15:52:24,.,'Audit Result - Office 2010 Visio Project - 64 Bit - Completed OK.'
23.07.2025 15:52:24,.,'Audit Result - Windows keys 64bit - Completed OK.'
23.07.2025 15:52:24,.,'Audit Result - ODBC Connections (64-Bit, System DSN only - Completed OK.'
23.07.2025 15:52:24,.,'Audit Result - Name: OpenAuditDB - Completed OK.'
23.07.2025 15:52:24,.,'Audit Result - SOFTWARE\ODBC\ODBC.INI\OpenAuditDB - Completed OK.'
23.07.2025 15:52:25,.,'Audit Result - Name: keller-maria - Completed OK.'
23.07.2025 15:52:25,.,'Audit Result - SOFTWARE\ODBC\ODBC.INI\keller-maria - Completed OK.'
23.07.2025 15:52:27,.,'Audit Result - Automatic Updating Settings - Completed OK.'
23.07.2025 15:52:27,.,'Audit Result - Audit.vbs Execution Time: 145 seconds. - Completed OK.'
23.07.2025 15:52:27,.,'Audit Result - Total Execution Time: 145 seconds. - Completed OK.'
23.07.2025 15:52:29,.,Completed
